site,lat,long,year,month,vpdmax
BM,36.06,-118.39,1954,10,12.3149995803833
BM,36.06,-118.39,1954,11,8.0620002746582
BM,36.06,-118.39,1954,12,6.68699979782104
BM,36.06,-118.39,1955,1,4.19399976730347
BM,36.06,-118.39,1955,2,5.39499998092651
BM,36.06,-118.39,1955,3,6.65199995040894
BM,36.06,-118.39,1955,4,6.57100009918213
BM,36.06,-118.39,1955,5,8.0930004119873
BM,36.06,-118.39,1955,6,11.4930000305176
BM,36.06,-118.39,1955,7,15.7980003356934
BM,36.06,-118.39,1955,8,18.5440006256104
BM,36.06,-118.39,1955,9,16.0170001983643
BM,36.06,-118.39,1955,10,12.2910003662109
BM,36.06,-118.39,1955,11,6.84700012207031
BM,36.06,-118.39,1955,12,4.17999982833862
BM,36.06,-118.39,1956,1,4.8769998550415
BM,36.06,-118.39,1956,2,5.03000020980835
BM,36.06,-118.39,1956,3,7.79699993133545
BM,36.06,-118.39,1956,4,5.61199998855591
BM,36.06,-118.39,1956,5,8.78600025177002
BM,36.06,-118.39,1956,6,14.3149995803833
BM,36.06,-118.39,1956,7,14.3319997787476
BM,36.06,-118.39,1956,8,16.9540004730225
BM,36.06,-118.39,1956,9,15.6129999160767
BM,36.06,-118.39,1956,10,7.9060001373291
BM,36.06,-118.39,1956,11,9.4350004196167
BM,36.06,-118.39,1956,12,8.02299976348877
BM,36.06,-118.39,1958,1,5.65399980545044
BM,36.06,-118.39,1958,2,3.99000000953674
BM,36.06,-118.39,1958,3,3.01399993896484
BM,36.06,-118.39,1958,4,7.09100008010864
BM,36.06,-118.39,1958,5,10.3059997558594
BM,36.06,-118.39,1958,6,11.1160001754761
BM,36.06,-118.39,1958,7,15.6909999847412
BM,36.06,-118.39,1958,8,17.0109996795654
BM,36.06,-118.39,1958,9,15.5290002822876
BM,36.06,-118.39,1958,10,13.3420000076294
BM,36.06,-118.39,1958,11,7.38899993896484
BM,36.06,-118.39,1958,12,8.8730001449585
BM,36.06,-118.39,1959,1,5.5460000038147
BM,36.06,-118.39,1959,2,3.46399998664856
BM,36.06,-118.39,1959,3,7.98000001907349
BM,36.06,-118.39,1959,4,10.7349996566772
BM,36.06,-118.39,1959,5,8.02999973297119
BM,36.06,-118.39,1959,6,14.8889999389648
BM,36.06,-118.39,1959,7,18.5359992980957
BM,36.06,-118.39,1959,8,17.5729999542236
BM,36.06,-118.39,1959,9,13.7559995651245
BM,36.06,-118.39,1959,10,12.5590000152588
BM,36.06,-118.39,1959,11,10.706000328064
BM,36.06,-118.39,1959,12,7.04199981689453
BM,36.06,-118.39,1960,1,3.43700003623962
BM,36.06,-118.39,1960,2,4.18699979782104
BM,36.06,-118.39,1960,3,7.18200016021729
BM,36.06,-118.39,1960,4,8.14900016784668
BM,36.06,-118.39,1960,5,9.95300006866455
BM,36.06,-118.39,1960,6,16.8939990997314
BM,36.06,-118.39,1960,7,17.9309997558594
BM,36.06,-118.39,1960,8,19.5709991455078
BM,36.06,-118.39,1960,9,16.6399993896484
BM,36.06,-118.39,1960,10,9.83600044250488
BM,36.06,-118.39,1960,11,5.41400003433228
BM,36.06,-118.39,1960,12,6.68699979782104
BM,36.06,-118.39,1961,1,7.66599988937378
BM,36.06,-118.39,1961,2,4.93800020217896
BM,36.06,-118.39,1961,3,4.65500020980835
BM,36.06,-118.39,1961,4,8.87100028991699
BM,36.06,-118.39,1961,5,8.39599990844727
BM,36.06,-118.39,1961,6,15.5030002593994
BM,36.06,-118.39,1961,7,17.9799995422363
BM,36.06,-118.39,1961,8,15.3950004577637
BM,36.06,-118.39,1961,9,14.4359998703003
BM,36.06,-118.39,1961,10,10.4209995269775
BM,36.06,-118.39,1961,11,6.53800010681152
BM,36.06,-118.39,1961,12,4.625
BM,36.06,-118.39,1962,1,5.99499988555908
BM,36.06,-118.39,1962,2,3.14599990844727
BM,36.06,-118.39,1962,3,4.42600011825562
BM,36.06,-118.39,1962,4,11.1379995346069
BM,36.06,-118.39,1962,5,7.34100008010864
BM,36.06,-118.39,1962,6,13.0229997634888
BM,36.06,-118.39,1962,7,16.3190002441406
BM,36.06,-118.39,1962,8,19.2840003967285
BM,36.06,-118.39,1962,9,16.9069995880127
BM,36.06,-118.39,1962,10,11.2559995651245
BM,36.06,-118.39,1962,11,7.73999977111816
BM,36.06,-118.39,1962,12,7.05100011825562
BM,36.06,-118.39,1963,1,6.37599992752075
BM,36.06,-118.39,1963,2,6.15299987792969
BM,36.06,-118.39,1963,3,5.33500003814697
BM,36.06,-118.39,1963,4,5.55700016021729
BM,36.06,-118.39,1963,5,8.80300045013428
BM,36.06,-118.39,1963,6,9.54199981689453
BM,36.06,-118.39,1963,7,17.3889999389648
BM,36.06,-118.39,1963,8,17.1459999084473
BM,36.06,-118.39,1963,9,14.6149997711182
BM,36.06,-118.39,1963,10,9.90100002288818
BM,36.06,-118.39,1963,11,6.06899976730347
BM,36.06,-118.39,1963,12,7.25699996948242
BM,36.06,-118.39,1965,1,4.41900014877319
BM,36.06,-118.39,1965,2,6.06599998474121
BM,36.06,-118.39,1965,3,4.89900016784668
BM,36.06,-118.39,1965,4,5.39499998092651
BM,36.06,-118.39,1965,5,7.66400003433228
BM,36.06,-118.39,1965,6,9.33399963378906
BM,36.06,-118.39,1965,7,15.3959999084473
BM,36.06,-118.39,1965,8,17.423999786377
BM,36.06,-118.39,1965,9,12.6969995498657
BM,36.06,-118.39,1965,10,14.9280004501343
BM,36.06,-118.39,1965,11,5.59100008010864
BM,36.06,-118.39,1965,12,4.58400011062622
BM,36.06,-118.39,1966,1,5.23299980163574
BM,36.06,-118.39,1966,2,4.84800004959106
BM,36.06,-118.39,1966,3,7.10300016403198
