site,lat,long,year,month,ppt
BM,36.06,-118.39,1942,10,4.72100019454956
BM,36.06,-118.39,1942,11,114.248001098633
BM,36.06,-118.39,1942,12,129.54899597168
BM,36.06,-118.39,1943,1,294.756011962891
BM,36.06,-118.39,1943,2,102.185997009277
BM,36.06,-118.39,1943,3,312.468994140625
BM,36.06,-118.39,1943,4,75.6940002441406
BM,36.06,-118.39,1943,5,13.6110000610352
BM,36.06,-118.39,1943,6,0
BM,36.06,-118.39,1943,7,0
BM,36.06,-118.39,1943,8,0
BM,36.06,-118.39,1943,9,0
BM,36.06,-118.39,1943,10,18.4270000457764
BM,36.06,-118.39,1943,11,27.1840000152588
BM,36.06,-118.39,1943,12,81.7679977416992
BM,36.06,-118.39,1944,1,128.291000366211
BM,36.06,-118.39,1944,2,194.923004150391
BM,36.06,-118.39,1944,3,69.9029998779297
BM,36.06,-118.39,1944,4,74.9069976806641
BM,36.06,-118.39,1944,5,25.1259994506836
BM,36.06,-118.39,1944,6,9.67899990081787
BM,36.06,-118.39,1944,7,0
BM,36.06,-118.39,1944,8,0
BM,36.06,-118.39,1944,9,0
BM,36.06,-118.39,1944,10,18.1809997558594
BM,36.06,-118.39,1944,11,200.686004638672
BM,36.06,-118.39,1944,12,93.0780029296875
BM,36.06,-118.39,1945,1,17.3159999847412
BM,36.06,-118.39,1945,2,253.52799987793
BM,36.06,-118.39,1945,3,194.919006347656
BM,36.06,-118.39,1945,4,27.7800006866455
BM,36.06,-118.39,1945,5,34.7849998474121
BM,36.06,-118.39,1945,6,18.6650009155273
BM,36.06,-118.39,1945,7,0
BM,36.06,-118.39,1945,8,31.2350006103516
BM,36.06,-118.39,1945,9,5.88700008392334
BM,36.06,-118.39,1945,10,58.1440010070801
BM,36.06,-118.39,1945,11,73.1419982910156
BM,36.06,-118.39,1945,12,219.619003295898
BM,36.06,-118.39,1946,1,46.484001159668
BM,36.06,-118.39,1946,2,75.9329986572266
BM,36.06,-118.39,1946,3,156.576995849609
BM,36.06,-118.39,1946,4,11.1929998397827
BM,36.06,-118.39,1946,5,45.632999420166
BM,36.06,-118.39,1946,6,0
BM,36.06,-118.39,1946,7,20.82200050354
BM,36.06,-118.39,1946,8,0
BM,36.06,-118.39,1946,9,0
BM,36.06,-118.39,1946,10,48.2779998779297
BM,36.06,-118.39,1946,11,177.070007324219
