year,summer_ppt,summer_tmin,summer_tmax,summer_tmean,summer_td_mean,summer_vpdmin,summer_vpdmax
1973,16.54899978637691,6.7967499494552595,19.52650022506715,13.161250591278074,-2.286499977111818,4.545499920845033,17.4665002822876
1974,52.52600026130673,7.542999982833862,19.931750297546376,13.737000465393075,-1.3422500491142277,4.934499979019162,17.61675024032595
1975,39.7929988632677,6.86775016784668,18.939750671386726,12.903500318527225,-0.8894999921321853,4.251749992370607,16.124000072479223
1976,189.41500091552774,5.191750049591063,17.365750312805176,11.278250694274899,-0.2094999551773066,2.8567500710487375,13.881250143051151
1977,69.15899893641475,6.614249944686888,19.54825019836425,13.080750703811649,-0.06175001710653527,3.724999964237215,16.7112500667572
1978,66.44599914550781,6.253000020980835,18.1597499847412,12.206000566482524,-1.4894999861717224,3.9959999322891253,15.421999692916875
1979,36.583999633789,6.7762500047683725,19.734249591827375,13.2545006275177,-1.252500023692845,4.252000033855437,17.393750190734874
1980,26.480998992919908,6.3862500786781276,17.994499921798724,12.189750671386719,-2.42199993133545,4.43349999189377,15.51925015449525
1981,13.61300015449524,7.803499817848206,20.479249954223626,14.1402506828308,-0.8117500064254282,4.760749995708465,18.296499967575098
1982,153.3080024719239,5.533749997615818,17.614000082016027,11.573000431060795,-0.1809999942779553,2.7754999995231624,14.042500257492083
1983,87.00299859046937,6.487249970436095,18.365499973297077,12.42575073242185,-0.046250000596046975,2.972500026226045,14.631250143051151
1984,144.2949981689453,7.94474995136261,19.1332497596741,13.538500785827626,3.168000012636185,2.561750024557115,14.10599994659425
1985,46.55199956893914,7.09424990415573,18.19200015068055,12.642250657081604,-1.24524998664856,3.57699990272522,15.147749900817875
1986,53.343001365661664,6.07825008034706,17.8392503261566,11.958500623703003,-0.6314999759197251,3.3289999365806553,14.7572500705719
1987,30.89400005340581,6.812000036239622,18.841249942779577,12.8262505531311,-1.9344999939203262,3.7852500081062326,16.378000020980824
1988,119.700001001358,7.6772497892379725,19.417500019073476,13.5465006828308,1.5517499912530173,3.3582499623298627,15.735000133514426
1989,71.78099966049191,6.85449993610382,18.8375005722046,12.845500469207774,-1.1687500029802302,4.392000019550323,15.7442502975464
1990,55.02499938011163,7.352750182151793,18.973000049591075,13.1622507572174,1.1547499448061,3.80024993419647,14.793749809265126
