site,lat,long,year,month,tmax
BM,36.06,-118.39,2010,3,6.80200004577637
BM,36.06,-118.39,2010,4,9.18900012969971
BM,36.06,-118.39,2010,5,11.1339998245239
BM,36.06,-118.39,2010,6,20.5279998779297
BM,36.06,-118.39,2010,7,23.7700004577637
BM,36.06,-118.39,2010,8,23.4459991455078
BM,36.06,-118.39,2010,9,22.1509990692139
BM,36.06,-118.39,2010,10,12.9350004196167
BM,36.06,-118.39,2010,11,7.94000005722046
BM,36.06,-118.39,2010,12,5.74399995803833
BM,36.06,-118.39,2011,1,7.40500020980835
BM,36.06,-118.39,2011,2,4.32800006866455
BM,36.06,-118.39,2011,3,5.51800012588501
BM,36.06,-118.39,2011,4,10.5459995269775
BM,36.06,-118.39,2011,5,11.0920000076294
BM,36.06,-118.39,2011,6,18.6459999084473
BM,36.06,-118.39,2011,7,22.4720001220703
BM,36.06,-118.39,2011,8,24.1420001983643
BM,36.06,-118.39,2011,9,20.80299949646
BM,36.06,-118.39,2011,10,15.9449996948242
BM,36.06,-118.39,2011,11,8.55099964141846
BM,36.06,-118.39,2011,12,6.18200016021729
BM,36.06,-118.39,2012,1,8.47000026702881
BM,36.06,-118.39,2012,2,5.68800020217896
BM,36.06,-118.39,2012,3,6.99599981307983
BM,36.06,-118.39,2012,4,11.3409996032715
BM,36.06,-118.39,2012,5,16.6439990997314
BM,36.06,-118.39,2012,6,19.0869998931885
BM,36.06,-118.39,2012,7,23.181999206543
BM,36.06,-118.39,2012,8,24.9570007324219
BM,36.06,-118.39,2012,9,21.4400005340576
BM,36.06,-118.39,2012,10,15.9969997406006
BM,36.06,-118.39,2012,11,10.3219995498657
BM,36.06,-118.39,2012,12,3.31699991226196
BM,36.06,-118.39,1895,1,2.44300007820129
BM,36.06,-118.39,1895,2,4.56599998474121
BM,36.06,-118.39,1895,3,6.85699987411499
BM,36.06,-118.39,1895,4,9.54199981689453
BM,36.06,-118.39,1895,5,12.2869997024536
BM,36.06,-118.39,1895,6,17.4330005645752
BM,36.06,-118.39,1895,7,18.5510005950928
BM,36.06,-118.39,1895,8,20.3759994506836
BM,36.06,-118.39,1895,9,15.9610004425049
BM,36.06,-118.39,1895,10,12.3339996337891
BM,36.06,-118.39,1895,11,6.86100006103516
BM,36.06,-118.39,1895,12,4.38899993896484
BM,36.06,-118.39,1896,1,6.10099983215332
BM,36.06,-118.39,1896,2,7.21299982070923
BM,36.06,-118.39,1896,3,5.98899984359741
BM,36.06,-118.39,1896,4,4.25500011444092
BM,36.06,-118.39,1896,5,9.46500015258789
BM,36.06,-118.39,1896,6,18.7210006713867
BM,36.06,-118.39,1896,7,19.9559993743896
BM,36.06,-118.39,1896,8,18.5030002593994
BM,36.06,-118.39,1896,9,15.0450000762939
BM,36.06,-118.39,1896,10,13.5279998779297
BM,36.06,-118.39,1896,11,5.62400007247925
BM,36.06,-118.39,1896,12,6.66599988937378
BM,36.06,-118.39,1897,1,4.2979998588562
BM,36.06,-118.39,1897,2,1.2940000295639
BM,36.06,-118.39,1897,3,1.17499995231628
BM,36.06,-118.39,1897,4,9.9370002746582
BM,36.06,-118.39,1897,5,15.0229997634888
BM,36.06,-118.39,1897,6,14.9399995803833
BM,36.06,-118.39,1897,7,19.4710006713867
BM,36.06,-118.39,1897,8,21.6949996948242
BM,36.06,-118.39,1897,9,15.0769996643066
BM,36.06,-118.39,1897,10,9.81599998474121
BM,36.06,-118.39,1897,11,7.69099998474121
BM,36.06,-118.39,1897,12,2.43300008773804
BM,36.06,-118.39,1898,1,0.559000015258789
BM,36.06,-118.39,1898,2,5.58300018310547
BM,36.06,-118.39,1898,3,4.16699981689453
BM,36.06,-118.39,1898,4,12.2589998245239
BM,36.06,-118.39,1898,5,9.91399955749512
BM,36.06,-118.39,1898,6,17.0410003662109
BM,36.06,-118.39,1898,7,20.9479999542236
BM,36.06,-118.39,1898,8,22.4869995117188
BM,36.06,-118.39,1898,9,18.6690006256104
BM,36.06,-118.39,1898,10,12.0030002593994
BM,36.06,-118.39,1898,11,7.62099981307983
BM,36.06,-118.39,1898,12,2.96099996566772
BM,36.06,-118.39,1899,1,4.68200016021729
BM,36.06,-118.39,1899,2,3.76300001144409
BM,36.06,-118.39,1899,3,6.42600011825562
BM,36.06,-118.39,1899,4,10.6420001983643
BM,36.06,-118.39,1899,5,9.28299999237061
BM,36.06,-118.39,1899,6,18.7029991149902
BM,36.06,-118.39,1899,7,22.4829998016357
BM,36.06,-118.39,1899,8,18.3299999237061
BM,36.06,-118.39,1899,9,21.4899997711182
BM,36.06,-118.39,1899,10,9.47200012207031
BM,36.06,-118.39,1899,11,8.03999996185303
BM,36.06,-118.39,1899,12,3.14599990844727
BM,36.06,-118.39,1900,1,4.94500017166138
BM,36.06,-118.39,1900,2,6.49200010299683
BM,36.06,-118.39,1900,3,10.6840000152588
BM,36.06,-118.39,1900,4,6.26000022888184
BM,36.06,-118.39,1900,5,13.085000038147
BM,36.06,-118.39,1900,6,19.1569995880127
BM,36.06,-118.39,1900,7,22.1770000457764
BM,36.06,-118.39,1900,8,18.943000793457
BM,36.06,-118.39,1900,9,13.835000038147
BM,36.06,-118.39,1900,10,10.5389995574951
BM,36.06,-118.39,1900,11,8.74699974060059
BM,36.06,-118.39,1900,12,5.06300020217896
BM,36.06,-118.39,1901,1,2.21300005912781
BM,36.06,-118.39,1901,2,2.87100005149841
BM,36.06,-118.39,1901,3,6.31199979782104
BM,36.06,-118.39,1901,4,8.8769998550415
BM,36.06,-118.39,1901,5,11.4309997558594
BM,36.06,-118.39,1901,6,17.5440006256104
BM,36.06,-118.39,1901,7,22.0669994354248
BM,36.06,-118.39,1901,8,21.2950000762939
BM,36.06,-118.39,1901,9,16.9139995574951
BM,36.06,-118.39,1901,10,13.5869998931885
BM,36.06,-118.39,1901,11,10.4689998626709
BM,36.06,-118.39,1901,12,7.28299999237061
BM,36.06,-118.39,1902,1,4.21799993515015
BM,36.06,-118.39,1902,2,5.49300003051758
BM,36.06,-118.39,1902,3,2.83699989318848
BM,36.06,-118.39,1902,4,8.71199989318848
BM,36.06,-118.39,1902,5,11.1459999084473
BM,36.06,-118.39,1902,6,20.0410003662109
BM,36.06,-118.39,1902,7,20.9200000762939
BM,36.06,-118.39,1902,8,20.7630004882812
BM,36.06,-118.39,1902,9,20.1119995117188
BM,36.06,-118.39,1902,10,13.2770004272461
BM,36.06,-118.39,1902,11,6.26000022888184
BM,36.06,-118.39,1902,12,4.05000019073486
BM,36.06,-118.39,1903,1,5.35799980163574
BM,36.06,-118.39,1903,2,-0.312000006437302
BM,36.06,-118.39,1903,3,3.9760000705719
BM,36.06,-118.39,1903,4,7.32600021362305
BM,36.06,-118.39,1903,5,12.173999786377
BM,36.06,-118.39,1903,6,18.6439990997314
BM,36.06,-118.39,1903,7,20.2600002288818
BM,36.06,-118.39,1903,8,22.7870006561279
BM,36.06,-118.39,1903,9,17.8500003814697
BM,36.06,-118.39,1903,10,15.4549999237061
BM,36.06,-118.39,1903,11,10.585000038147
BM,36.06,-118.39,1903,12,5.98299980163574
BM,36.06,-118.39,1904,1,5.85300016403198
BM,36.06,-118.39,1904,2,7.08400011062622
BM,36.06,-118.39,1904,3,5.01599979400635
BM,36.06,-118.39,1904,4,8.58199977874756
BM,36.06,-118.39,1904,5,13.9169998168945
BM,36.06,-118.39,1904,6,19.4799995422363
BM,36.06,-118.39,1904,7,20.7639999389648
BM,36.06,-118.39,1904,8,21.4680004119873
BM,36.06,-118.39,1904,9,17.0130004882812
BM,36.06,-118.39,1904,10,11.53600025177
BM,36.06,-118.39,1904,11,10.4440002441406
BM,36.06,-118.39,1904,12,6.1560001373291
BM,36.06,-118.39,1905,1,5.92799997329712
BM,36.06,-118.39,1905,2,5.28499984741211
BM,36.06,-118.39,1905,3,6.80100011825562
BM,36.06,-118.39,1905,4,10.1960000991821
BM,36.06,-118.39,1905,5,10.0620002746582
BM,36.06,-118.39,1905,6,17.7140007019043
BM,36.06,-118.39,1905,7,22.8700008392334
BM,36.06,-118.39,1905,8,23.19700050354
BM,36.06,-118.39,1905,9,18.9020004272461
BM,36.06,-118.39,1905,10,13.3430004119873
BM,36.06,-118.39,1905,11,9.31599998474121
BM,36.06,-118.39,1905,12,4.7519998550415
BM,36.06,-118.39,1906,1,7.07800006866455
