site,lat,long,year,month,td_mean
BM,36.06,-118.39,1928,6,-1.46300005912781
BM,36.06,-118.39,1928,7,1.79999995231628
BM,36.06,-118.39,1928,8,0.597000002861023
BM,36.06,-118.39,1928,9,-2.94799995422363
BM,36.06,-118.39,1928,10,-6.27699995040894
BM,36.06,-118.39,1928,11,-8.65499973297119
BM,36.06,-118.39,1928,12,-12.6590003967285
BM,36.06,-118.39,1929,1,-13.6920003890991
BM,36.06,-118.39,1929,2,-12.3570003509521
BM,36.06,-118.39,1929,3,-10.7320003509521
BM,36.06,-118.39,1929,4,-10.2370004653931
BM,36.06,-118.39,1929,5,-5.37099981307983
BM,36.06,-118.39,1929,6,-0.75
BM,36.06,-118.39,1929,7,2.32800006866455
BM,36.06,-118.39,1929,8,1.71200001239777
BM,36.06,-118.39,1929,9,-2.40300011634827
BM,36.06,-118.39,1929,10,-5.65399980545044
BM,36.06,-118.39,1929,11,-11.3190002441406
BM,36.06,-118.39,1929,12,-9.40799999237061
BM,36.06,-118.39,1931,1,-11.8479995727539
BM,36.06,-118.39,1931,2,-7.48099994659424
BM,36.06,-118.39,1931,3,-9.97200012207031
BM,36.06,-118.39,1931,4,-7.76800012588501
BM,36.06,-118.39,1931,5,-3.01099991798401
BM,36.06,-118.39,1931,6,-0.317999988794327
BM,36.06,-118.39,1931,7,2.98399996757507
BM,36.06,-118.39,1931,8,1.97500002384186
BM,36.06,-118.39,1931,9,-2.33299994468689
BM,36.06,-118.39,1931,10,-6.05100011825562
BM,36.06,-118.39,1931,11,-9.47200012207031
BM,36.06,-118.39,1931,12,-11.5509996414185
BM,36.06,-118.39,1932,1,-13.3920001983643
BM,36.06,-118.39,1932,2,-10.9460000991821
BM,36.06,-118.39,1932,3,-9.75500011444092
BM,36.06,-118.39,1932,4,-9.70800018310547
BM,36.06,-118.39,1932,5,-4.36199998855591
BM,36.06,-118.39,1932,6,-1.25800001621246
BM,36.06,-118.39,1932,7,1.88100004196167
BM,36.06,-118.39,1932,8,0.810000002384186
BM,36.06,-118.39,1932,9,-1.89600002765656
BM,36.06,-118.39,1932,10,-6.28900003433228
BM,36.06,-118.39,1932,11,-8.39999961853027
BM,36.06,-118.39,1932,12,-13.9799995422363
BM,36.06,-118.39,1933,1,-13.9259996414185
BM,36.06,-118.39,1933,2,-13.2309999465942
BM,36.06,-118.39,1933,3,-10.1579999923706
BM,36.06,-118.39,1933,4,-9.32299995422363
BM,36.06,-118.39,1933,5,-6.00500011444092
BM,36.06,-118.39,1933,6,-1.79999995231628
BM,36.06,-118.39,1933,7,2.16199994087219
BM,36.06,-118.39,1933,8,1.45200002193451
BM,36.06,-118.39,1933,9,-2.6710000038147
BM,36.06,-118.39,1933,10,-4.2350001335144
BM,36.06,-118.39,1933,11,-9.69799995422363
BM,36.06,-118.39,1933,12,-10.9720001220703
BM,36.06,-118.39,1934,1,-11.331000328064
BM,36.06,-118.39,1934,2,-7.75299978256226
BM,36.06,-118.39,1934,3,-7.84700012207031
BM,36.06,-118.39,1934,4,-7.27400016784668
BM,36.06,-118.39,1934,5,-3.62800002098083
BM,36.06,-118.39,1934,6,-0.754999995231628
BM,36.06,-118.39,1934,7,2.29099988937378
BM,36.06,-118.39,1934,8,1.68099999427795
BM,36.06,-118.39,1934,9,-2.1159999370575
BM,36.06,-118.39,1934,10,-4.98999977111816
BM,36.06,-118.39,1934,11,-6.20300006866455
BM,36.06,-118.39,1934,12,-10.2810001373291
BM,36.06,-118.39,1936,1,-10.6800003051758
BM,36.06,-118.39,1936,2,-8.93000030517578
BM,36.06,-118.39,1936,3,-9.63399982452393
