site,lat,long,year,month,tmin
BM,36.06,-118.39,1947,12,-8.75599956512451
BM,36.06,-118.39,1948,1,-5.39499998092651
BM,36.06,-118.39,1948,2,-10.7849998474121
BM,36.06,-118.39,1948,3,-9.6899995803833
BM,36.06,-118.39,1948,4,-5.81699991226196
BM,36.06,-118.39,1948,5,-2.7739999294281
BM,36.06,-118.39,1948,6,2.68099999427795
BM,36.06,-118.39,1948,7,6.13100004196167
BM,36.06,-118.39,1948,8,6.80499982833862
BM,36.06,-118.39,1948,9,4.7810001373291
BM,36.06,-118.39,1948,10,0.0430000014603138
BM,36.06,-118.39,1948,11,-3.92799997329712
BM,36.06,-118.39,1948,12,-8.96100044250488
BM,36.06,-118.39,1949,1,-14.6569995880127
BM,36.06,-118.39,1949,2,-11.9879999160767
BM,36.06,-118.39,1949,3,-9.83500003814697
BM,36.06,-118.39,1949,4,-3.26099991798401
BM,36.06,-118.39,1949,5,-1.37899994850159
BM,36.06,-118.39,1949,6,3.86400008201599
BM,36.06,-118.39,1949,7,6.97300004959106
BM,36.06,-118.39,1949,8,5.81599998474121
BM,36.06,-118.39,1949,9,4.98799991607666
BM,36.06,-118.39,1949,10,-0.861000001430511
BM,36.06,-118.39,1949,11,-0.0379999987781048
BM,36.06,-118.39,1949,12,-7.90299987792969
BM,36.06,-118.39,1950,1,-11.2709999084473
BM,36.06,-118.39,1950,2,-6.75899982452393
BM,36.06,-118.39,1950,3,-6.75600004196167
BM,36.06,-118.39,1950,4,-3.56699991226196
BM,36.06,-118.39,1950,5,-1.05299997329712
BM,36.06,-118.39,1950,6,2.22199988365173
BM,36.06,-118.39,1950,7,8.15799999237061
BM,36.06,-118.39,1950,8,7.19899988174438
BM,36.06,-118.39,1950,9,3.8050000667572
BM,36.06,-118.39,1950,10,1.41799998283386
BM,36.06,-118.39,1950,11,-0.638000011444092
BM,36.06,-118.39,1950,12,-2.56900000572205
BM,36.06,-118.39,1951,1,-7.76900005340576
BM,36.06,-118.39,1951,2,-8.69600009918213
BM,36.06,-118.39,1951,3,-7.27699995040894
BM,36.06,-118.39,1951,4,-3.92400002479553
BM,36.06,-118.39,1951,5,-0.967000007629395
BM,36.06,-118.39,1951,6,3.28600001335144
BM,36.06,-118.39,1951,7,7.4229998588562
BM,36.06,-118.39,1951,8,6.52500009536743
BM,36.06,-118.39,1951,9,5.83699989318848
BM,36.06,-118.39,1951,10,-0.794000029563904
BM,36.06,-118.39,1951,11,-3.73499989509583
BM,36.06,-118.39,1951,12,-8.88099956512451
BM,36.06,-118.39,1952,1,-10.996000289917
BM,36.06,-118.39,1952,2,-9.92899990081787
BM,36.06,-118.39,1952,3,-11.1490001678467
BM,36.06,-118.39,1952,4,-4.99100017547607
BM,36.06,-118.39,1952,5,-1.09700000286102
BM,36.06,-118.39,1952,6,0.980000019073486
BM,36.06,-118.39,1952,7,7.81300020217896
BM,36.06,-118.39,1952,8,7.38700008392334
BM,36.06,-118.39,1952,9,4.9229998588562
BM,36.06,-118.39,1952,10,3.96499991416931
BM,36.06,-118.39,1952,11,-5.7960000038147
BM,36.06,-118.39,1952,12,-7.70699977874756
BM,36.06,-118.39,1953,1,-5.01999998092651
BM,36.06,-118.39,1953,2,-7.85500001907349
BM,36.06,-118.39,1953,3,-7.53200006484985
BM,36.06,-118.39,1953,4,-5.34999990463257
