year,winter_ppt,winter_tmin,winter_tmax,winter_tmean,winter_td_mean,winter_vpdmin,winter_vpdmax
1990,559.5679980516431,-2.9368749810382724,8.17325003445149,2.6181251257658,-9.328374952077866,2.1022499948740028,7.849624991416928
1991,665.8609819412222,-3.828750014305114,7.194499969482421,1.6827500653453162,-10.91412496566771,2.1576250046491636,7.4152499437332215
1992,602.5399951934816,-1.8295000689104197,8.990500032901773,3.580250255763531,-6.935124918818468,1.8153749896446243,7.812750071287153
1993,990.2249960899352,-3.597249954938889,7.195874944329262,1.7991251200437537,-8.183624923229216,1.6271249651908875,6.797124981880181
1994,629.3599996566768,-3.1236250074580316,7.660250008106233,2.2680000998079772,-9.198625087738037,1.64837497472763,7.521999955177311
1995,931.1440010070808,-4.585499952547253,6.0276250243186915,0.7213750332593926,-7.104874849319457,1.0629999936791137,5.929374903440476
1996,875.5159816741951,-2.0319999754428877,9.406000018119817,3.6866252049803703,-8.317249953746789,1.8553749743732635,8.942124903202064
1997,929.95998954773,-2.4633750170469275,8.448124945163727,2.992000102996826,-7.732374966144566,2.000500015914441,8.237249970436098
1998,1096.1320018768313,-4.624875023961069,5.938125029206272,0.6568750180304057,-7.910624921321866,1.4067500007804488,6.28187489509583
1999,614.3409976959229,-3.8465000597061585,7.319624900817874,1.7365000676363715,-9.675125002861014,1.848374962806702,7.151124894618988
2000,618.0759921073918,-1.2143749147653589,10.71487474441529,4.749750211834907,-9.442375063896176,2.5631250292062777,10.620249927043918
2001,686.2529907226567,-3.080874979496004,8.54062500596046,2.7298751920461712,-8.720750093460087,2.080874979496002,8.863624870777134
2002,724.106993675232,-2.3716249875724316,9.646875202655794,3.637750152498482,-9.28850001096725,2.1680000126361865,9.73437488079071
2003,857.8300037384034,-2.798874959349632,8.860749989748001,3.03075009956956,-8.531875014305118,1.8149999976158138,8.648874998092655
2004,682.8210110664373,-2.1658750623464575,9.685499966144562,3.7596251796930966,-9.12399995326996,2.3611249774694434,9.968500137329109
2005,1034.56999397278,-2.715875051915647,8.0029998421669,2.6435001604259,-8.296875178813934,1.3574999943375599,8.236875116825095
2006,856.1350231170659,-2.6332499012351023,8.721625253558162,3.044125190936029,-8.828500032424932,1.7956249862909313,8.183375000953667
2007,359.4900007247923,-1.6998750306665902,10.434500038623812,4.3668752387166005,-9.77700001001358,2.44974999129772,10.349250018596653
2008,567.3849949836729,-2.3181249797344217,9.45925009250641,3.570375196635723,-10.390125095844258,2.329250007867815,9.527250051498418
2009,445.8890001773838,-1.2607499808073026,10.134374856948842,4.436375204473735,-8.903374880552295,2.46500000357628,9.846375107765196
2010,775.5549964904782,-3.65499998629093,8.122000098228451,2.2333750985562806,-9.507375001907358,1.8321250081062317,8.389750003814695
2011,1063.8679752349856,-2.9384999349713334,8.188500046730038,2.6248750872910027,-8.518374964594841,1.6662499904632564,7.839499831199646
2012,415.6660025119785,-1.5827499330043802,9.977124810218806,4.196875244379043,-10.830875188112257,2.5462500154972076,10.16287511587143
2013,168.90959501266468,-0.4086667696634915,9.87866640090942,4.734667023022957,-7.281333287556968,2.4073333342870096,9.942666848500593
