site,lat,long,year,month,vpdmin
BM,36.06,-118.39,1931,11,1.22000002861023
BM,36.06,-118.39,1931,12,1.05200004577637
BM,36.06,-118.39,1932,1,0.745000004768372
BM,36.06,-118.39,1932,2,0.560000002384186
BM,36.06,-118.39,1932,3,1.16600000858307
BM,36.06,-118.39,1932,4,1.28199994564056
BM,36.06,-118.39,1932,5,0.901000022888184
BM,36.06,-118.39,1932,6,2.26099991798401
BM,36.06,-118.39,1932,7,3.82599997520447
BM,36.06,-118.39,1932,8,4.3769998550415
BM,36.06,-118.39,1932,9,4.73899984359741
BM,36.06,-118.39,1932,10,2.54299998283386
BM,36.06,-118.39,1932,11,2.77699995040894
BM,36.06,-118.39,1932,12,1.11699998378754
BM,36.06,-118.39,1933,1,0.869000017642975
BM,36.06,-118.39,1933,2,0.565999984741211
BM,36.06,-118.39,1933,3,1.04900002479553
BM,36.06,-118.39,1933,4,1.25199997425079
BM,36.06,-118.39,1933,5,1.8860000371933
BM,36.06,-118.39,1933,6,2.39400005340576
BM,36.06,-118.39,1933,7,5.23000001907349
BM,36.06,-118.39,1933,8,5.23299980163574
BM,36.06,-118.39,1933,9,4.01399993896484
BM,36.06,-118.39,1933,10,3.72199988365173
BM,36.06,-118.39,1933,11,3.02099990844727
BM,36.06,-118.39,1933,12,1.74899995326996
BM,36.06,-118.39,1934,1,1.56299996376038
BM,36.06,-118.39,1934,2,0.880999982357025
BM,36.06,-118.39,1934,3,1.75899994373322
BM,36.06,-118.39,1934,4,2.03999996185303
BM,36.06,-118.39,1934,5,2.1029999256134
BM,36.06,-118.39,1934,6,1.62999999523163
BM,36.06,-118.39,1934,7,3.34800004959106
BM,36.06,-118.39,1934,8,4.75
BM,36.06,-118.39,1934,9,4.35799980163574
BM,36.06,-118.39,1934,10,2.38800001144409
BM,36.06,-118.39,1934,11,1.58599996566772
BM,36.06,-118.39,1934,12,1.54999995231628
BM,36.06,-118.39,1935,1,1.08299994468689
BM,36.06,-118.39,1935,2,0.986999988555908
BM,36.06,-118.39,1935,3,0.940999984741211
BM,36.06,-118.39,1935,4,1.08299994468689
BM,36.06,-118.39,1935,5,1.38300001621246
BM,36.06,-118.39,1935,6,3.31500005722046
BM,36.06,-118.39,1935,7,2.08599996566772
BM,36.06,-118.39,1935,8,3.74399995803833
BM,36.06,-118.39,1935,9,3.86299991607666
BM,36.06,-118.39,1935,10,1.90299999713898
BM,36.06,-118.39,1935,11,1.77699995040894
BM,36.06,-118.39,1935,12,1.74600005149841
BM,36.06,-118.39,1938,1,1.58299994468689
BM,36.06,-118.39,1938,2,0.48199999332428
BM,36.06,-118.39,1938,3,0.533999979496002
BM,36.06,-118.39,1938,4,1.04799997806549
BM,36.06,-118.39,1938,5,0.954999983310699
BM,36.06,-118.39,1938,6,2.52800011634827
BM,36.06,-118.39,1938,7,3.15400004386902
BM,36.06,-118.39,1938,8,4.36899995803833
BM,36.06,-118.39,1938,9,4.03599977493286
BM,36.06,-118.39,1938,10,1.69900000095367
BM,36.06,-118.39,1938,11,1.91199994087219
BM,36.06,-118.39,1938,12,1.74600005149841
BM,36.06,-118.39,1940,1,1.44400000572205
BM,36.06,-118.39,1940,2,0.428000003099442
BM,36.06,-118.39,1940,3,1.10000002384186
BM,36.06,-118.39,1940,4,1.1710000038147
BM,36.06,-118.39,1940,5,2.30900001525879
BM,36.06,-118.39,1940,6,3.79699993133545
BM,36.06,-118.39,1940,7,4.85500001907349
BM,36.06,-118.39,1940,8,4.39200019836426
BM,36.06,-118.39,1940,9,2.21799993515015
BM,36.06,-118.39,1940,10,2.24799990653992
BM,36.06,-118.39,1940,11,1.66600000858307
BM,36.06,-118.39,1940,12,1.64699995517731
BM,36.06,-118.39,1941,1,1.01900005340576
BM,36.06,-118.39,1941,2,0.568000018596649
BM,36.06,-118.39,1941,3,0.742999970912933
BM,36.06,-118.39,1941,4,0.518999993801117
BM,36.06,-118.39,1941,5,1.07700002193451
BM,36.06,-118.39,1941,6,1.60000002384186
BM,36.06,-118.39,1941,7,4.80399990081787
BM,36.06,-118.39,1941,8,5.69399976730347
BM,36.06,-118.39,1941,9,2.68199992179871
BM,36.06,-118.39,1941,10,1.51400005817413
BM,36.06,-118.39,1941,11,1.83399999141693
BM,36.06,-118.39,1941,12,0.925999999046326
BM,36.06,-118.39,1942,1,1.19400000572205
BM,36.06,-118.39,1942,2,0.538999974727631
